#Camera,X,Y
139,229127.5089,3541630.715
141,227378.3716,3533810.247
150,228262.6406,3537709.526
153,226009.7189,3534170.662
182,227182.2696,3537115.271
184,225541.2983,3532653.001
186,227815.0971,3532924.984
191,225903.399,3537474.384
195,225099.7497,3534642.743
197,228111.5521,3542837.537
231A,226915.3715,3533801.734
231B,227300.8776,3534580.027
238,226123.0609,3541753.194
241A,225190.7129,3537747.606
241B,225611.3471,3539411.146
256,224974.2719,3532861.885
314,225521.7672,3539989.449
323,226471.1041,3538926.783
