#Session	ID	Occasion	Detector
A1	8479	1	1
A1	9329	1	1
A1	9333	1	1
A1	9332	1	1
A1	9330	1	1
A1	8482	1	1
A1	8383	1	59
A1	9374	1	72A
A1	8361	1	72A
A1	9334	1	72A
A1	8389	1	72A
A1	9333	1	1
A1	8482	1	1
A1	9330	1	1
A1	9332	1	1
A1	8479	1	1
A1	9329	1	1
A1	8389	1	6
A1	8361	1	6
A1	9334	1	6
A1	8383	1	59
A1	9229	1	84
A1	9216	1	84
A1	9250	1	84
A1	9217	1	84
A1	8383	2	72A
A1	9372	2	72A
A1	8237	2	72A
A1	9334	2	72A
A1	9250	2	84
A1	9229	2	84
A1	9217	2	84
A1	9216	2	84
A1	8479	2	1
A1	9329	2	1
A1	9333	2	1
A1	9330	2	1
A1	9332	2	1
A1	9389	2	6
A1	9361	2	6
A1	9374	2	6
A1	9372	2	59
A1	9334	2	72A
A1	8383	2	72A
A1	9243	2	72A
A1	9216	2	114
A1	9217	2	114
A1	9229	2	114
A1	9250	2	114
A1	8353	2	132
A1	9372	2	59
A1	9374	2	72A
A1	8383	2	72A
A1	9334	2	72A
A1	9217	2	84
A1	9216	2	84
A1	9250	2	84
A1	9229	2	84
A1	9372	3	59
A1	8379	3	63
A1	9372	3	59
A2	9250	3	186
A2	9217	3	186
A2	9216	3	186
A2	9229	3	186
A2	9250	3	186
A2	9217	3	186
A2	9216	3	186
A2	9229	3	186
A2	9241	3	186
A2	9334	3	241B
A1	8484	3	86
A1	8237	3	86
A1	8352	3	86
A1	8236	3	86
A1	9372	3	86
A2	9250	3	186
A2	9217	3	186
A2	9216	3	186
A2	9229	3	186
A2	8483	3	186
A2	8484	3	186
A2	10711	3	238
A2	8354	3	238
A2	8359	3	238
A1	9372	4	86
A1	9243	4	86
A1	8352	4	86
A1	10715	4	86
A1	10718	4	86
A1	8236	4	86
A1	8237	4	86
A2	9216	4	186
A2	9229	4	186
A2	9250	4	186
A2	8484	4	186
A2	9217	4	186
A2	8483	4	186
A2	8374	4	197
A2	9334	4	323
A1	10715	4	86
A1	10718	4	86
A1	8352	4	86
A1	9372	4	86
A1	8236	4	86
A2	9217	4	186
A2	9241	4	186
A2	8374	4	197
A2	8237	4	323
A2	9334	4	323
A1	8352	4	86
A1	10715	4	86
A1	9372	4	86
A1	10718	4	86
A2	8237	4	323
A2	9334	4	323
A2	8383	4	323
A2	9243	4	323
A1	8352	5	86
A1	10715	5	86
A1	9372	5	86
A1	10718	5	86
A2	9250	5	182
A2	9241	5	186
A2	8484	5	186
A2	8374	5	197
A2	8359	5	238
A2	8374	5	197
A2	9329	5	197
A2	9334	5	241B
A2	8237	5	323
A2	8361	5	323
A3	9241	5	379
A3	8352	5	463
A3	9241	6	379
A3	8352	6	463
A3	10718	6	463
A3	9241	6	379
A3	9242	6	453
A3	9230	6	453
A3	8352	6	463
A3	10718	6	463
A3	9241	6	379
A3	8352	6	463
A3	10718	6	463
A3	9373	6	463
A3	9241	7	379
A3	9374	7	439
A3	9366	7	439
A3	8352	7	463
A3	9241	7	379
A3	9204	7	417
A3	9366	7	439
A3	9374	7	439
A3	8380	7	439
A3	9230	7	453
A3	8237	7	453
A3	9241	7	379
A3	9374	7	439
A4	8236	8	532
A4	9225	8	590
A4	8353	8	590
A4	9230	8	603
A4	9248	8	603
A3	8383	8	400
A4	8374	8	590
A4	9225	8	590
A4	8353	8	590
A4	8363	8	590
A4	9330	8	590
A4	10740	8	590
A4	9248	8	603
A3	8383	8	400
A3	8242	8	400
A3	8237	8	400
A4	9225	8	590
A4	10740	8	590
A4	8363	8	590
A4	8374	8	590
A4	8353	8	590
A4	9330	8	590
A4	10716	8	590
A4	9230	8	603
A4	9248	8	603
A3	8242	9	400
A3	8383	9	400
A3	9243	9	400
A3	8351	9	400
A3	8237	9	400
A4	8363	9	590
A4	9248	9	603
A4	9230	9	603
A4	10716	9	590
A4	8482	9	590
A4	9330	9	590
A4	8374	9	590
A4	9225	9	590
A4	8353	9	590
A4	10740	9	590
A4	9250	9	492
A4	8236	9	532
A4	10716	9	590
A4	8363	9	590
A4	10740	9	590
A4	9330	9	590
A4	8482	9	590
A4	8374	9	590
A4	8353	9	590
A4	9329	9	590
A4	8479	9	590
A4	9230	9	603
A4	9271	9	552
A4	8374	9	590
A4	8482	9	590
A4	8363	9	590
A4	9225	9	590
A4	10740	9	590
A4	8353	9	590
A4	9230	9	603
A4	9248	9	603
A3	8237	10	400
A4	8374	10	590
A4	9230	10	603
A4	9248	10	603
A4	9230	10	603
A4	9219	10	615
