#Camera,X,Y
1,226802.6369,3541623.746
6,226845.1394,3539724.464
11,229045.2899,3540172.604
24,224737.345,3540387.64
27,229157.1616,3542040.86
41,225205.1083,3536920.355
59,227186.1305,3539108.306
63,227203.3658,3542229.208
72A,226303.1102,3538550.721
72B,224063.4356,3533332.669
84,225408.4116,3532178.719
86,228042.5325,3540085.377
111,225450.5908,3540924.575
114,224291.1821,3533679.257
118,229032.1428,3539042.105
131,224856.9542,3534953.673
132,225835.4168,3538458.539
135,228838.5548,3540576.488
