#Camera,X,Y
492,226158.9475,3533769.24
512,229818.3742,3540093.662
520,225193.3573,3541604.475
521,227249.3865,3537713.527
532,227322.3447,3538237.068
540,226410.3292,3536471.332
548,228405.9024,3535827.382
552,227798.4976,3534290.619
554,226937.5124,3542297.85
569,226685.0883,3535130.192
590,227335.1445,3541687.026
595,228451.4127,3536634.455
598,224931.7642,3536359.755
603,225569.9192,3535261.924
615,227215.053,3541015.448
617,228323.0885,3535290.957
637,228592.4128,3541090.486
